Modelo,Versão,Accuracy,Precision,Recall,F1,Kappa,Total
XGBoost,0.1,93.9,93.33,95.45,94.38,87.72,464.78
RF,0.1,91.46,87.76,97.73,92.47,82.68,452.09999999999997
XGBoost,0.2,89.63,91.84,90.91,91.37,78.39,442.14
XGBoost,0.3,88.62,91.08,91.08,91.08,75.35,437.2099999999999
GBM,0.1,87.8,82.69,97.73,89.58,75.12,432.92
KNN,0.1,87.8,86.96,90.91,88.89,75.39,429.94999999999993
RF,0.3,83.74,84.62,91.08,87.73,63.73,410.90000000000003
KNN,0.2,82.93,82.57,90.91,86.54,63.35,406.3
GBM,0.3,82.52,83.53,90.45,86.85,60.91,404.26
RF,0.2,82.32,81.25,91.92,86.26,61.73,403.48
KNN,0.3,81.71,85.0,86.62,85.8,60.1,399.23
GBM,0.2,81.1,80.91,89.9,85.17,59.31,396.39
MLP,0.2,76.22,77.27,85.86,81.34,48.82,369.51000000000005
SVM,0.1,70.73,66.13,93.18,77.36,39.18,346.58000000000004
MLP,0.3,71.54,81.29,71.97,76.35,40.97,342.12
SVM,0.3,69.51,71.81,85.99,78.26,28.59,334.15999999999997
SVM,0.2,68.29,68.5,87.88,76.99,28.44,330.1
MLP,0.1,67.07,63.08,93.18,75.23,31.2,329.76
